hostname,st_teff,st_lum,st_mass,st_rad,st_logg,st_met,st_age,sy_dist_log,sy_pm,sy_snum,sy_gaiamag,st_spectype_group,sy_pnum,hz_pnum,has_hz_planet,st_logg_filled
Kepler-947,5508.0,-0.20409591845593122,0.9,0.87,4.52,-0.07,4.27,3.238241868072895,2.0549501,1,15.7517,,1,0,0,False
Kepler-1021,5431.0,-0.23859403637506713,0.89,0.86,4.53,-0.05,4.68,2.9085289822675975,0.9770519,1,15.1734,,1,0,0,False
Kepler-1006,5328.0,-0.4023898459217816,0.78,0.74,4.59,-0.4,4.27,,14.8650065,1,,,1,0,0,False
Kepler-1009,4027.0,-1.1154339202580035,0.59,0.57,4.7,-0.12,3.16,2.550251596363113,17.6633445,1,15.3014,,1,0,0,False
Kepler-1027,5436.0,-0.2783646530234525,0.91,0.82,4.57,-0.06,1.41,2.6075665314318015,22.8959013,2,12.8401,,1,0,0,False
Kepler-1035,5753.5,0.209,1.03,1.28023,4.23633,0.2135,,2.7498259471730586,11.7350307,1,13.0054,,1,0,0,False
Kepler-986,5515.94,-0.04683,0.97,1.03752,4.39284,0.2205,,2.739068935697085,7.6195546,1,13.6421,,1,0,0,False
Kepler-978,6002.0,0.1409268102038701,1.07,1.09,4.38,-0.01,3.63,2.8341166547232164,14.7021286,1,13.3744,,1,0,0,False
Kepler-1002,6144.0,0.49849398287957725,1.22,1.57,4.13,0.04,4.07,2.610982570906733,15.1029798,1,11.6475,,1,0,0,False
Kepler-1005,5733.54,0.1356,1.02,1.1847,4.29945,-0.0347,,2.754199977399285,17.5000576,1,13.1838,,1,0,0,False
Kepler-1015,6769.0,0.7903450560946905,1.49,1.81,4.09,0.06,1.58,2.8688541889937045,7.694288,1,12.7586,,1,0,0,False
Kepler-972,6146.0,0.2799797349982215,1.15,1.22,4.33,0.04,2.82,3.078467693404985,7.1622203,1,14.8925,,1,0,0,False
Kepler-961,5582.0,-0.15146580254361397,0.96,0.9,4.51,0.05,2.82,2.759149403167182,0.8255584,1,14.043,,1,0,0,False
